Year,doy,Development_Stage,LAI,Cumulative_Thermal_Unit,LiveRoot_Dry_Weight,Shoot_Dry_Weight,weight_roots_living,Leaf_Carbon,Stem_Carbon,Seed_Carbon,Root_Carbon,Nitrogen_Leaf,Nitrogen_Stem,Nitrogen_Seed,Nitrogen_Root,Nitrogen_uptake,Respiration_Uptakes,Maintenance_Respiration,Cumulative_Respiration,Potential_Canopy_Photosynthesis,Actual_Canopy_Photosynthesis,Potential_Canopy_Temp,Actual_Canopy_Temp,potential_evap_daily,Actual_Daily_Evaporation,Potential_Canopy_Transpiration,Actual_Canopy_Transpiration,Plant_Height,available_soluble_N,Root_Depth,average_soil_temperature,Current_Soil_Moisture_Top_Layer
2023.0,110.0,0.02,0.052,0.57,1.577,1.577,0.000,0.857,0.000,0.000,0.757,0.092,0.000,0.000,0.051,0.013,0.101,0.077,0.168,0.34887,0.53337,2.19080,6.09510,2.58858,2.58858,0.00015,0.00015,0.001,0.037,5.000,15.015,0.2960, 
2023.0,111.0,0.03,0.061,1.17,1.577,1.785,0.000,0.943,0.000,0.000,0.757,0.100,0.000,0.000,0.051,0.008,0.059,0.185,0.432,0.31591,0.57833,0.57489,5.64489,2.79486,2.79486,0.00554,0.00554,0.001,0.046,5.000,15.190,0.2949, 
2023.0,112.0,0.05,0.067,1.78,1.577,1.964,0.000,1.097,0.000,0.000,0.757,0.120,0.000,0.000,0.051,0.020,0.156,0.147,0.721,0.67641,0.85453,7.75793,10.16240,2.03577,2.03577,0.00001,0.00001,0.001,0.059,5.000,15.603,0.2936, 
2023.0,113.0,0.07,0.080,2.32,1.577,2.285,0.000,1.178,0.000,0.000,0.757,0.124,0.000,0.000,0.051,0.004,0.033,0.256,1.052,0.19386,0.63001,-4.94918,3.57407,2.48337,2.48337,0.00501,0.00501,0.001,0.089,5.000,15.342,0.2905, 
2023.0,114.0,0.09,0.084,2.98,1.577,2.455,0.000,1.336,0.001,0.000,0.757,0.138,0.000,0.000,0.051,0.014,0.107,0.135,1.332,0.51531,0.86264,3.03443,7.52621,3.50023,3.50023,0.02281,0.02281,0.001,0.138,5.000,15.842,0.2850, 
2023.0,115.0,0.11,0.093,3.69,1.577,2.786,0.000,1.479,0.002,0.000,0.757,0.146,0.000,0.000,0.051,0.009,0.069,0.215,1.679,0.11537,0.87488,-10.28852,5.34930,2.80365,2.80365,0.00480,0.00480,0.001,0.165,5.000,16.548,0.2829, 
2023.0,116.0,0.13,0.099,4.36,1.577,3.086,0.000,1.706,0.006,0.000,0.757,0.165,0.000,0.000,0.051,0.018,0.143,0.180,2.071,0.94906,1.23620,7.87383,10.47318,2.84924,2.84924,0.01844,0.01844,0.001,0.213,5.000,16.849,0.2790, 
2023.0,117.0,0.14,0.112,4.94,1.577,3.566,0.000,2.022,0.012,0.000,0.757,0.191,0.000,0.000,0.051,0.027,0.209,0.263,2.628,1.64830,1.73761,12.35510,13.12029,2.64150,2.64150,0.00001,0.00001,0.001,0.250,5.000,17.133,0.2758, 
2023.0,118.0,0.16,0.129,5.57,1.577,4.236,0.000,2.321,0.022,0.000,0.757,0.209,0.001,0.000,0.051,0.018,0.140,0.341,3.253,1.54483,1.76142,10.12409,11.56666,2.37356,2.37356,0.01306,0.01306,0.001,0.177,5.000,17.165,0.2837, 
2023.0,119.0,0.18,0.141,6.24,1.577,4.882,0.000,2.727,0.039,0.000,0.757,0.233,0.001,0.000,0.051,0.025,0.195,0.277,3.918,2.06466,2.21392,14.05839,15.10591,2.68435,2.68435,0.06524,0.06524,0.001,0.213,5.000,17.458,0.2795, 
2023.0,120.0,0.19,0.157,6.76,1.577,5.762,0.000,3.078,0.060,0.000,0.757,0.274,0.002,0.000,0.051,0.042,0.323,0.341,4.600,1.78327,2.04534,7.91416,9.60487,2.64456,2.64456,0.00261,0.00261,0.001,0.234,5.000,17.464,0.2782, 
2023.0,121.0,0.21,0.184,7.29,1.577,6.537,0.000,3.566,0.088,0.000,0.757,0.305,0.003,0.000,0.051,0.032,0.251,0.491,5.564,2.82663,2.85596,13.13807,13.36366,2.64973,2.64973,0.08292,0.08292,0.001,0.262,5.000,17.115,0.2752, 
2023.0,122.0,0.23,0.204,7.89,1.577,7.612,0.000,4.029,0.131,0.000,0.757,0.353,0.004,0.000,0.051,0.050,0.386,0.431,6.459,2.64261,2.75438,10.82290,11.53647,3.26859,3.26859,0.15342,0.15342,0.001,0.246,5.000,17.036,0.2702, 
2023.0,123.0,0.25,0.236,8.52,1.577,8.668,0.000,4.676,0.192,0.000,0.757,0.395,0.006,0.000,0.051,0.044,0.350,0.592,7.699,3.82442,3.83290,16.41676,16.40429,3.16605,3.16605,0.26342,0.26342,0.002,0.243,5.000,17.068,0.2693, 
2023.0,124.0,0.26,0.263,9.08,1.577,10.141,0.000,5.478,0.263,0.000,0.757,0.459,0.008,0.000,0.051,0.066,0.516,0.571,9.071,4.57117,4.57184,16.78836,16.80608,2.65790,2.65790,0.25688,0.25688,0.002,0.236,5.000,16.926,0.2666, 
2023.0,125.0,0.28,0.303,9.58,1.577,11.960,0.000,6.134,0.344,0.000,0.757,0.536,0.011,0.000,0.051,0.079,0.615,0.766,10.513,4.12590,4.14625,11.07310,11.20295,0.86858,0.86858,0.03848,0.03848,0.003,0.231,5.000,16.085,0.2667, 
2023.0,126.0,0.29,0.351,10.16,1.577,13.496,0.000,6.971,0.460,0.000,0.757,0.595,0.014,0.000,0.051,0.063,0.499,0.908,12.295,5.27729,5.27792,14.05555,14.02706,1.61332,1.61332,0.28160,0.28160,0.003,0.206,5.000,15.619,0.2649, 
2023.0,127.0,0.31,0.388,10.70,1.577,15.483,0.000,7.997,0.595,0.000,0.757,0.677,0.019,0.000,0.051,0.086,0.671,0.817,14.174,6.11784,6.13192,14.00613,14.06059,1.43617,1.43617,0.26553,0.26553,0.004,0.195,5.000,15.452,0.2650, 
2023.0,128.0,0.33,0.438,11.45,1.577,17.899,0.000,9.153,0.817,0.000,0.757,0.773,0.026,0.000,0.051,0.103,0.807,1.025,16.463,7.33233,7.34385,20.14172,19.92309,2.49164,2.49164,0.65560,0.65560,0.006,0.179,5.000,16.067,0.2613, 
2023.0,129.0,0.35,0.495,12.15,1.577,20.771,0.000,10.491,1.084,0.000,0.757,0.884,0.034,0.000,0.051,0.119,0.935,1.206,19.140,8.56607,8.56279,19.76201,19.65845,1.98028,1.98028,0.67786,0.67786,0.007,0.187,5.000,16.371,0.2622, 
2023.0,130.0,0.37,0.560,12.73,1.577,24.115,0.000,11.755,1.359,0.000,0.757,1.013,0.042,0.000,0.051,0.138,1.076,1.385,21.936,8.52426,8.43771,16.56751,17.17795,2.05710,2.05710,0.74726,0.74726,0.009,0.202,5.000,16.303,0.2712, 
2023.0,131.0,0.38,0.634,13.37,1.577,27.320,0.000,13.641,1.716,0.000,0.757,1.132,0.054,0.000,0.051,0.130,1.033,1.594,25.586,12.42031,11.87525,21.36117,22.40494,1.81232,1.81232,0.96151,0.96151,0.011,0.176,5.000,17.036,0.2666, 
2023.0,132.0,0.40,0.702,13.98,1.577,31.994,0.000,15.490,2.120,0.000,0.757,1.301,0.066,0.000,0.051,0.181,1.416,1.593,29.245,11.88759,11.92080,18.26247,18.34227,1.16155,1.16155,0.75167,0.75167,0.014,0.181,5.000,16.540,0.2651, 
2023.0,133.0,0.42,0.793,14.58,1.577,36.688,0.000,17.472,2.580,0.000,0.757,1.441,0.081,0.000,0.051,0.154,1.220,2.060,33.817,13.70010,13.52573,17.94778,18.47111,1.41360,1.41360,1.01891,1.01891,0.016,0.154,5.000,16.252,0.2618, 
2023.0,134.0,0.44,0.869,15.15,1.577,41.775,0.000,19.755,3.089,0.000,0.757,1.566,0.097,0.000,0.051,0.142,1.132,1.919,39.344,15.79066,15.76660,18.22876,18.65403,1.05626,1.05626,0.92675,0.92675,0.019,0.142,5.000,15.970,0.2624, 
2023.0,135.0,0.46,0.936,15.93,1.577,47.593,0.000,20.705,3.887,0.000,0.757,1.665,0.121,0.000,0.051,0.123,0.968,1.868,45.266,14.87790,12.32775,26.01482,29.08979,1.60196,1.60196,1.42629,1.42629,0.024,0.123,5.000,17.549,0.2603, 
2023.0,136.0,0.47,0.989,16.42,1.577,51.233,0.000,21.760,4.480,0.000,0.757,1.791,0.140,0.000,0.051,0.145,1.131,1.754,53.443,14.09894,14.22193,15.41040,15.38471,0.51942,0.51942,0.61565,0.61565,0.028,0.145,5.000,15.990,0.2603, 
2023.0,137.0,0.49,1.054,17.05,1.577,54.668,0.000,23.767,5.321,0.000,0.757,1.879,0.166,0.000,0.051,0.114,0.927,1.988,62.691,19.77149,19.69154,19.53606,19.98688,1.09726,1.09726,1.25422,1.25422,0.033,0.114,5.000,15.992,0.2650, 
2023.0,138.0,0.51,1.192,17.62,1.577,60.601,0.000,24.706,6.194,0.000,0.757,1.953,0.194,0.000,0.051,0.101,0.801,1.797,71.126,14.98269,15.07582,15.63694,15.50849,0.67103,0.67103,0.92794,0.92794,0.038,0.101,5.000,14.952,0.2627, 
2023.0,139.0,0.52,1.256,18.23,1.577,64.375,0.000,25.841,7.223,0.000,0.757,1.992,0.226,0.000,0.051,0.072,0.592,1.702,82.632,19.50974,19.44218,19.49195,19.75950,0.90758,0.90758,1.32147,1.32147,0.044,0.072,5.000,14.843,0.2590, 
2023.0,140.0,0.54,1.334,18.80,1.577,68.884,0.000,26.798,8.305,0.000,0.757,2.022,0.260,0.000,0.051,0.064,0.528,1.491,95.266,20.31954,20.10752,20.39857,21.07060,0.64276,0.64276,1.27759,1.27759,0.051,0.064,5.000,14.913,0.2570, 
2023.0,141.0,0.56,1.400,19.54,1.577,73.130,0.000,26.865,9.830,0.000,0.757,2.033,0.307,0.000,0.051,0.059,0.480,1.421,109.680,20.42711,20.25307,20.60182,21.01575,1.07028,1.07028,1.56331,1.56331,0.060,0.059,5.000,15.424,0.2554, 
2023.0,142.0,0.58,1.405,20.25,1.577,76.448,0.000,26.865,11.226,0.000,0.757,2.048,0.351,0.000,0.051,0.058,0.471,1.377,125.344,20.85681,20.78464,20.76057,21.02506,1.12237,1.12237,1.53768,1.53768,0.069,0.058,5.000,15.783,0.2514, 
2023.0,143.0,0.60,1.405,20.90,1.577,79.357,0.000,26.865,12.365,0.000,0.757,2.071,0.386,0.000,0.051,0.059,0.472,1.376,140.784,19.70747,19.61559,20.14286,20.41042,0.82085,0.82085,1.38496,1.38496,0.077,0.059,5.000,15.575,0.2500, 
2023.0,144.0,0.62,1.405,21.47,1.577,81.730,0.000,26.865,13.463,0.000,0.757,2.088,0.421,0.000,0.051,0.051,0.409,1.393,156.183,19.39949,19.42463,18.10776,18.34548,0.60838,0.60838,1.07845,1.07845,0.086,0.051,5.000,15.055,0.2491, 
2023.0,145.0,0.63,1.405,22.02,1.577,84.017,0.000,26.865,14.466,0.000,0.757,2.096,0.452,0.000,0.051,0.039,0.320,1.340,171.624,19.11297,19.11999,17.68537,17.92284,0.62748,0.62748,1.13634,1.13634,0.093,0.039,5.000,14.536,0.2490, 
2023.0,146.0,0.65,1.405,22.55,1.577,86.107,0.000,26.865,15.138,0.000,0.757,2.103,0.473,0.000,0.051,0.028,0.227,1.256,186.930,17.68313,17.76877,15.75972,15.85351,0.30609,0.30609,0.59945,0.59945,0.099,0.028,5.000,14.041,0.2482, 
2023.0,147.0,0.66,1.405,23.05,1.577,87.507,0.000,26.865,15.608,0.000,0.757,2.107,0.488,0.000,0.051,0.019,0.153,1.166,202.211,16.92406,17.00556,16.91525,16.92521,0.49137,0.49137,0.92617,0.92617,0.104,0.019,5.000,13.290,0.2480, 
2023.0,148.0,0.68,1.405,23.75,1.577,88.487,0.000,26.865,16.298,0.000,0.757,2.089,0.509,0.000,0.050,0.003,0.038,1.094,217.823,18.33495,18.13998,21.22697,21.24185,1.21059,1.21059,1.73732,1.73732,0.117,0.003,5.000,13.589,0.2434, 
2023.0,149.0,0.70,1.405,24.40,1.577,89.923,0.000,26.865,17.334,0.000,0.757,2.064,0.542,0.000,0.049,0.007,0.075,0.963,233.972,20.01356,19.94663,22.08887,22.30411,0.90232,0.90232,1.49263,1.49263,0.125,0.007,5.000,14.118,0.2433, 
2023.0,150.0,0.72,1.405,24.93,1.577,92.081,0.000,26.865,18.046,0.000,0.757,2.053,0.564,0.000,0.049,0.011,0.102,0.976,249.756,18.34903,18.39479,17.06133,17.18625,0.54511,0.54511,0.98017,0.98017,0.132,0.011,5.000,13.648,0.2411, 
2023.0,151.0,0.73,1.405,25.54,1.577,93.564,0.000,26.865,19.095,0.000,0.757,2.023,0.597,0.000,0.048,0.002,0.038,0.993,265.763,20.53950,19.85557,21.39087,22.45314,1.00703,1.00703,1.65831,1.65831,0.146,0.002,5.000,14.124,0.2384, 
2023.0,152.0,0.75,1.405,26.09,1.577,95.751,0.000,26.865,20.233,0.000,0.757,1.995,0.632,0.000,0.047,0.006,0.075,0.902,281.971,20.36889,20.38108,18.32665,18.58110,0.75961,0.75961,1.14226,1.14226,0.155,0.006,5.000,14.106,0.2368, 
2023.0,153.0,0.76,1.405,26.44,1.577,98.122,0.000,26.865,20.733,0.000,0.757,1.985,0.648,0.000,0.047,0.005,0.050,0.913,297.501,17.28111,17.36170,13.99452,14.26017,0.43287,0.43287,0.76706,0.76706,0.159,0.005,5.000,12.959,0.2360, 
2023.0,154.0,0.78,1.405,26.99,1.577,99.162,0.000,26.865,21.481,0.000,0.757,1.962,0.671,0.000,0.046,0.000,0.018,0.877,313.255,18.41469,18.49749,17.08122,17.39071,0.37449,0.37449,0.82086,0.82086,0.176,0.000,5.000,13.046,0.2408, 
2023.0,155.0,0.80,1.405,27.66,1.577,100.722,0.000,26.865,21.942,0.000,0.757,1.948,0.686,0.000,0.045,0.000,0.011,0.825,328.803,17.26896,17.23890,20.08615,20.00496,0.90939,0.90939,1.52009,1.52009,0.180,0.000,5.000,13.135,0.2386, 
2023.0,156.0,0.81,1.405,28.26,1.577,101.682,0.000,26.865,21.942,0.000,0.757,1.948,0.686,0.000,0.045,0.000,0.000,0.806,342.776,13.88172,13.97326,16.44189,16.03445,0.39584,0.39584,1.06343,1.06343,0.180,0.000,5.000,12.303,0.2361, 
