YEAR,doy,TMMX,TMMN,PRECTOTCORR,U2,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT
2023,352,25,10.48,0,1.7,8.18,41.05
2023,353,24.09,11.66,0.17,1.2,8.98,45.95
2023,354,23.76,13.53,2.04,1.68,10.95,56.35
2023,355,25.1,11.84,0,1.49,11.77,60.04
2023,356,15.03,11.35,26.5,1.69,4.42,24.55
2023,357,15.6,9.33,1.88,1.47,6.95,36.37
2023,358,16.33,7.61,0,0.88,11.89,60.57
2023,359,17.19,3.47,0,1.35,12.97,64.7
2023,360,16.87,2.15,0,1.45,12.69,62.98
2023,361,18.56,2.54,0,1.4,11.32,57.02
2023,362,19.65,4.74,0,1.42,12.91,64.71
2023,363,22.36,4.06,0,2.49,10.85,54.09
2023,364,22.46,6.3,0,2.55,12.3,60.96
